Vivado Simulator 2020.2
Time resolution is 1 ps
Time =                 5000 , test_a = 0100 , test_b = 0001 ,test_c = 1 , test_bi = 1, reg_Y_out = 0000
Time =                10000 , test_a = 1101 , test_b = 0101 ,test_c = 0 , test_bi = 1, reg_Y_out = 0000
Time =                15000 , test_a = 0110 , test_b = 1101 ,test_c = 1 , test_bi = 0, reg_Y_out = 0000
Time =                20000 , test_a = 0110 , test_b = 0101 ,test_c = 0 , test_bi = 1, reg_Y_out = 0000
Time =                25000 , test_a = 0010 , test_b = 1111 ,test_c = 0 , test_bi = 0, reg_Y_out = 0001
Time =                30000 , test_a = 0101 , test_b = 1100 ,test_c = 1 , test_bi = 1, reg_Y_out = 0010
Time =                35000 , test_a = 0011 , test_b = 1010 ,test_c = 0 , test_bi = 0, reg_Y_out = 0001
Time =                40000 , test_a = 1101 , test_b = 0110 ,test_c = 1 , test_bi = 1, reg_Y_out = 0010
Time =                45000 , test_a = 1011 , test_b = 0101 ,test_c = 0 , test_bi = 0, reg_Y_out = 0010
Time =                50000 , test_a = 1111 , test_b = 0011 ,test_c = 0 , test_bi = 0, reg_Y_out = 0000
Time =                55000 , test_a = 0010 , test_b = 1010 ,test_c = 1 , test_bi = 0, reg_Y_out = 0000
Time =                60000 , test_a = 1001 , test_b = 1011 ,test_c = 0 , test_bi = 0, reg_Y_out = 0000
Time =                65000 , test_a = 1100 , test_b = 1010 ,test_c = 1 , test_bi = 1, reg_Y_out = 0000
Time =                70000 , test_a = 1111 , test_b = 1011 ,test_c = 0 , test_bi = 0, reg_Y_out = 1010
Time =                75000 , test_a = 0001 , test_b = 1001 ,test_c = 0 , test_bi = 0, reg_Y_out = 1010
Time =                80000 , test_a = 1111 , test_b = 1000 ,test_c = 1 , test_bi = 1, reg_Y_out = 0000
Time =                85000 , test_a = 1011 , test_b = 1001 ,test_c = 1 , test_bi = 0, reg_Y_out = 0000
Time =                90000 , test_a = 0001 , test_b = 0110 ,test_c = 0 , test_bi = 0, reg_Y_out = 0010
Time =                95000 , test_a = 0111 , test_b = 1101 ,test_c = 0 , test_bi = 0, reg_Y_out = 0010
Time =               100000 , test_a = 1001 , test_b = 1111 ,test_c = 1 , test_bi = 1, reg_Y_out = 1010
Time =               105000 , test_a = 1011 , test_b = 1001 ,test_c = 1 , test_bi = 0, reg_Y_out = 1010
Time =               110000 , test_a = 0110 , test_b = 1110 ,test_c = 0 , test_bi = 0, reg_Y_out = 1000
Time =               115000 , test_a = 0011 , test_b = 0011 ,test_c = 1 , test_bi = 1, reg_Y_out = 1000
Time =               120000 , test_a = 0100 , test_b = 0111 ,test_c = 1 , test_bi = 0, reg_Y_out = 0110
Time =               125000 , test_a = 1001 , test_b = 1101 ,test_c = 0 , test_bi = 1, reg_Y_out = 0110
Time =               130000 , test_a = 1111 , test_b = 1001 ,test_c = 0 , test_bi = 0, reg_Y_out = 1000
Time =               135000 , test_a = 1011 , test_b = 1110 ,test_c = 0 , test_bi = 0, reg_Y_out = 1000
Time =               140000 , test_a = 0011 , test_b = 0110 ,test_c = 0 , test_bi = 1, reg_Y_out = 0101
Time =               145000 , test_a = 0110 , test_b = 1000 ,test_c = 1 , test_bi = 0, reg_Y_out = 0101
Time =               150000 , test_a = 0011 , test_b = 0100 ,test_c = 1 , test_bi = 1, reg_Y_out = 0000
Time =               155000 , test_a = 1001 , test_b = 1101 ,test_c = 0 , test_bi = 0, reg_Y_out = 0000
Time =               160000 , test_a = 0101 , test_b = 0110 ,test_c = 0 , test_bi = 1, reg_Y_out = 0111
Time =               165000 , test_a = 0100 , test_b = 1000 ,test_c = 0 , test_bi = 1, reg_Y_out = 0111
Time =               170000 , test_a = 1110 , test_b = 1000 ,test_c = 0 , test_bi = 1, reg_Y_out = 1001
Time =               175000 , test_a = 1100 , test_b = 0110 ,test_c = 0 , test_bi = 1, reg_Y_out = 1001
Time =               180000 , test_a = 0000 , test_b = 0011 ,test_c = 0 , test_bi = 0, reg_Y_out = 0010
Time =               185000 , test_a = 0101 , test_b = 1010 ,test_c = 1 , test_bi = 1, reg_Y_out = 0010
Time =               190000 , test_a = 0000 , test_b = 0110 ,test_c = 0 , test_bi = 1, reg_Y_out = 0000
Time =               195000 , test_a = 0110 , test_b = 1000 ,test_c = 0 , test_bi = 1, reg_Y_out = 0000
Time =               200000 , test_a = 1001 , test_b = 1010 ,test_c = 1 , test_bi = 1, reg_Y_out = 1011
Time =               205000 , test_a = 0110 , test_b = 0000 ,test_c = 1 , test_bi = 1, reg_Y_out = 1011
Time =               210000 , test_a = 0001 , test_b = 0101 ,test_c = 0 , test_bi = 1, reg_Y_out = 1110
Time =               215000 , test_a = 1100 , test_b = 1010 ,test_c = 0 , test_bi = 0, reg_Y_out = 1110
Time =               220000 , test_a = 0001 , test_b = 1110 ,test_c = 0 , test_bi = 1, reg_Y_out = 1101
Time =               225000 , test_a = 1010 , test_b = 1101 ,test_c = 0 , test_bi = 0, reg_Y_out = 1101
Time =               230000 , test_a = 1000 , test_b = 1010 ,test_c = 1 , test_bi = 1, reg_Y_out = 1101
Time =               235000 , test_a = 0110 , test_b = 1010 ,test_c = 0 , test_bi = 1, reg_Y_out = 1101
Time =               240000 , test_a = 0100 , test_b = 1111 ,test_c = 0 , test_bi = 0, reg_Y_out = 1011
Time =               245000 , test_a = 0010 , test_b = 1101 ,test_c = 0 , test_bi = 0, reg_Y_out = 1011
Time =               250000 , test_a = 1001 , test_b = 0001 ,test_c = 0 , test_bi = 1, reg_Y_out = 1000
